id,K,topic,topic_category,title_gemini,Interaction,CCF_Lead,CCF_Max_Corr,p_E_to_R,p_R_to_E,Granger_Lag,Keywords,K_clean,topic_clean,Representative_Articles
1.0,20,1,1. 読者コミュニティ・流通 (売買/募集/ペンパル) 🤝,読者のお宝譲渡・売買,No Interaction,Rが11ヶ月先行,-0.400712,0.28342,0.825054,1.0,"譲る, 必着, 招待, ダビング, 売る, 明記, ハガキ, 〆切, 新品, 応募, 売却, 交換, 東京公演, テープ, 往復",20.0,1.0,"(1) [Th: 95.7%] [ADLIB 1981/5] ...ます。とにかく連絡を下さい。 [個人情報] [個人情報]
(2) [Th: 94.6%] [ADLIB 1981/4] ●シーウインドのコンサートにご招待 3月に待望の来日を果すシーウインド...
(3) [Th: 94.5%] [ADLIB 1981/6] ●コンサート招待 ウェザー・リポートのコンサートにご招待 昨年にひき続...
(4) [Th: 94.4%] [ADLIB 1981/10] ...必ずお礼させていただきます。 [個人情報]
(5) [Th: 93.9%] [ADLIB 1981/11] ...¥18,000で。送料当方で [個人情報]
(6) [Th: 93.7%] [ADLIB 1981/7] ...グ希望(NHKのFM)です。 [個人情報]
(7) [Th: 93.4%] [ADLIB 1981/4] ●スタッフのコンサートにご招待 昨年にひきつづき来日するスタッフのコン...
(8) [Th: 93.3%] [ADLIB 1981/5] ●ザ・ブラザーズ・ジョンソンのコンサートにご招待 5月に3度目の来日を..."
2.0,20,2,4. 雑誌編集・ファン心理・特典グッズ 🎁,熱狂ファンが動かす音楽誌,Bottom-Up (R→E),Eが1ヶ月先行,-0.479505,0.395253,0.00292761,1.0,"雑誌, 記事, 読む, ほしい, 狂う, 知識, 興味, ソウル・ファン, 載せる, アドリブ, 参考, ソウル・ミュージック, 欲しい, 音楽雑誌, 内容",20.0,2.0,"(1) [Th: 96.4%] [ADLIB 1978/1] ...んいたらな･･･と思います。 [個人情報]
(2) [Th: 95.9%] [ADLIB 1976/7] ...た。ありがとう八木カナさん。 [個人情報]
(3) [Th: 95.7%] [ADLIB 1977/4] ...バーのことを知りたいのです。 [個人情報]
(4) [Th: 95.2%] [ADLIB 1976/7] ...レディングに育ちますように、 [個人情報]
(5) [Th: 95.2%] [ADLIB 1976/7] ...こと良くわかって欲しいなア。 [個人情報]
(6) [Th: 95.1%] [ADLIB 1976/4] ...せんか？あー、おどりたい!! [個人情報]
(7) [Th: 95.0%] [ADLIB 1979/7] ...リブ""の読者なのですから!! [個人情報]
(8) [Th: 94.6%] [ADLIB 1977/4] ...毎回買いたいと決心しました。 [個人情報]"
3.0,20,3,7. 来日ミュージシャン・人間探訪 🇯🇵,来日スターの親密な裏話,No Interaction,Rが11ヶ月先行,-0.35728,0.998074,0.187832,1.0,"パーソン, ホテル, 二人, ショー, 会う, 通訳, keiko, 慶子, 肥田, 会える, チャック, 連れる, 静か, 遊び, 幸せ",20.0,3.0,"(1) [Th: 97.9%] [ADLIB 1980/9] KEIKOのパーソンtoパーソン ●4●リタ・クーリッジの巻 私がリタ...
(2) [Th: 97.0%] [ADLIB 1980/7] KEIKOのパーソンtoパーソン ●2●トミー・ショー/スティックスの...
(3) [Th: 95.4%] [ADLIB 1980/3] クルセイダーズはお寿司がお好き!? ●クルセイダース来日中の裏話 来日...
(4) [Th: 95.0%] [ADLIB 1981/12] KEIKOのパーソンtoパーソン ●19●ジム・ホールの巻 あのジム・...
(5) [Th: 93.9%] [ADLIB 1981/2] KEIKOのパーソンtoパーソン ●9●ピーター・アレンの巻 今年11...
(6) [Th: 93.8%] [ADLIB 1981/6] KEIKOのパーソンtoパーソン ⚫︎13⚫︎ビリー&ビーターズの巻 ...
(7) [Th: 93.8%] [ADLIB 1982/1] ●またもや今年もこんな時期になってしまった。毎月毎月仕事に追われまくり...
(8) [Th: 91.9%] [ADLIB 1981/10] KEIKOのパーソンtoパーソン ●17●ランディ・クロフォードの巻 ..."
4.0,20,4,1. 読者コミュニティ・流通 (売買/募集/ペンパル) 🤝,熱中！洋楽ファンクラブ,No Interaction,Rが10ヶ月先行,-0.486173,0.519456,0.186722,1.0,"入会, ファン・クラブ, 切手, 発足, 同封, スリー・ディグリーズ, クラブ, 宛先, アスペクト・イン・クロスオーバー, シャイ・ライツ, 会員, タバレス, 下記, 返事, 出演者",20.0,4.0,"(1) [Th: 96.7%] [ADLIB 1978/7] ●ラスベガスのダイアナ・ロス見聞記● 4月22日、深夜ラスベガス、シー...
(2) [Th: 96.3%] [ADLIB 1981/4] 僕のN.Y.なんでも見聞記 ●N.Y.の音楽ガイド 今回はリラックスし...
(3) [Th: 96.2%] [ADLIB 1977/1] ...とでしょう......。」と [個人情報]
(4) [Th: 95.4%] [ADLIB 1978/4] ●アスペクト・イン・クロスオーバーからのお知らせ みなさんお元気ですか...
(5) [Th: 95.4%] [ADLIB 1978/4] ●アスペクト・イン・クロスオーバーからのお知らせ みなさんお元気ですか...
(6) [Th: 95.4%] [ADLIB 1976/7] ...の宛先までお申し込み下さい。 [個人情報] ビクター音楽産業内ハウス・オブ・テンプテーションズ係。
(7) [Th: 95.1%] [ADLIB 1976/7] ...の入会方法も教えてください。 [個人情報] ○まずファン・レターの宛先ですが、H&L Record C...
(8) [Th: 92.6%] [ADLIB 1977/7] ...宛先までお申し込みください。 [個人情報]"
5.0,20,5,3. 奏法・技術・オーディオ・機材 🎧,フュージョン新時代とオーディオ,No Interaction,Rが2ヶ月先行,0.397444,0.442118,0.0685956,1.0,"試聴, audio, パイオニア, 向井滋春, 自ら, 山岸潤史, 松岡直也, 新製品, カセット・デッキ, コーティンザクション, 推薦, 本多俊之, マライア, 渡辺, around",20.0,5.0,"(1) [Th: 97.4%] [ADLIB 1981/4] インタビュー/リポート/ストーリー FROM AROUND THE W...
(2) [Th: 96.8%] [ADLIB 1981/7] インタビュー/リポート/ストーリー FROM AROUND THE W...
(3) [Th: 96.7%] [ADLIB 1980/7] インタビュー/リポート/ストーリー FROM AROUND THE W...
(4) [Th: 96.6%] [ADLIB 1981/1] インタビュー/リポート/ストーリー FROM AROUND THE W...
(5) [Th: 96.3%] [ADLIB 1980/8] インタビュー/リポート/ストーリー FROM AROUND THE W...
(6) [Th: 96.2%] [ADLIB 1981/10] インタビュー／リポート／ストーリー FROM AROUND THE W...
(7) [Th: 95.9%] [ADLIB 1981/2] AUDIO SPECIAL 人気ミュージシャンが自分の「新作」で「噂の...
(8) [Th: 95.8%] [ADLIB 1980/9] インタビュー/リポート/ストーリー FROM AROUND THE W..."
6.0,20,6,4. 雑誌編集・ファン心理・特典グッズ 🎁,音楽誌の豪華特典と新譜,No Interaction,同時/なし,0.386233,0.528849,0.276205,2.0,"ステッカー, プレゼント, wp, badge, 製作, 特別, 制作, カラー・ポスター, 日本フォノグラム, 記念, epic, シャツ, vc, サイズ, 日本コロムビア",20.0,6.0,"(1) [Th: 98.9%] [ADLIB 1980/7] 日米只今ビッグ・ヒット中 アルバム／シングル全調査 いまアメリカと日本...
(2) [Th: 98.3%] [ADLIB 1980/6] 日米只今ビッグ・ヒット中アルバム/シングル全調査 ●いまアメリカと日本...
(3) [Th: 97.3%] [ADLIB 1980/3] 全国有名輸入盤店の中から、今回は東京渋谷にあるフルハウスと原宿にあるメ...
(4) [Th: 96.4%] [ADLIB 1980/7] 全国有名輸入盤店 ベスト・セラーズ 全国有名輸入盤店の中から、今月は東...
(5) [Th: 96.4%] [ADLIB 1980/4] 全国有名輸入盤店ベスト・セラーズ 全国有名輸入盤店の中から、今月は東京...
(6) [Th: 96.0%] [ADLIB 1980/5] ●最後に日本ではどうなっているんだろう？それをコンフィデンス誌3月24...
(7) [Th: 95.9%] [ADLIB 1980/5] ●次に同誌同号の「トップ100アルバム」チャートから 1. ザ・ウォー...
(8) [Th: 95.8%] [ADLIB 1980/6] 全国有名輸入盤店 ベスト・セラーズ 全国有名輸入盤店の中から、今月は大..."
7.0,20,7,5. ブラックミュージック・ジャンル論 ✊,読者の熱情、誌面に集う！,Bottom-Up (R→E),Rが5ヶ月先行,-0.559353,0.0638564,0.00312035,2.0,"マービン・ゲイ, ポインター・シスターズ, レーベル, 移籍, gp, ナタリー・コール, you, シュープリームス, 発表, 歌手, アイザック・ヘイズ, バリー, 契約, 女性歌手, ジャクソン・ファイブ",20.0,7.0,"(1) [Th: 95.4%] [ADLIB 1977/4] ...た。どなたか教えてください。 [個人情報] ○古くからのブルース,R&Bファンであればジョニー・ギター...
(2) [Th: 95.1%] [ADLIB 1977/7] ...歌手について紹介して下さい。 [個人情報] ○この6月の東京音楽祭に参加のため来日が予定されているマキ...
(3) [Th: 95.1%] [ADLIB 1976/1] ...ているアルバムはありますか? [個人情報] ○ドラマティックスは現在Mainstreamに所属していま...
(4) [Th: 93.1%] [ADLIB 1976/7] ...ーはどこに行ったのでしょうか [個人情報] ○ジョニーは戦場へ行った！というのは冗談で、彼は'74年末...
(5) [Th: 93.0%] [ADLIB 1975/7] - 「黒いジャガー」でおなじみのアイザック・ヘイズがスタックスを離れ、...
(6) [Th: 91.3%] [ADLIB 1977/7] ...手？レコードは出ていますか？ [個人情報] ○イギリス生れの女性歌手ティナ・チャールズは、まだ21才と...
(7) [Th: 91.1%] [ADLIB 1977/10] ...、新作は出ないのでしょうか。 [個人情報] ○適当に美人だし、歌もうまいし、キャンディの人気が日本で今...
(8) [Th: 90.7%] [ADLIB 1978/7] ...の妹だというのは本当ですか。 [個人情報] ○本当です。ついでのことに、音楽一家として知られるロウズ・..."
8.0,20,8,1. 読者コミュニティ・流通 (売買/募集/ペンパル) 🤝,読者が動かす！音楽伝言板,Bottom-Up (R→E),Eが2ヶ月先行,-0.377491,0.731214,0.0327644,1.0,"メンバー募集, 使用, ペンパル, 募集, 練習, 当方, ドラムス, プロ, 求む, フレンド, 男女, 指向, 問う, フュージョン, テク",20.0,8.0,"(1) [Th: 98.7%] [ADLIB 1981/5] [個人情報] ●音楽が大好きで、プレイすることがなにより好きな音楽仲間が...
(2) [Th: 98.7%] [ADLIB 1981/9] [個人情報] ●音楽が大好きで、プレイすることがなにより好きな音楽仲間が...
(3) [Th: 98.7%] [ADLIB 1981/4] [個人情報] 音楽が大好きで、プレイすることがなにより好きな音楽仲間が集...
(4) [Th: 96.8%] [ADLIB 1981/8] [個人情報] ●音楽が大好きで、プレイすることがなにより好きな音仲間が集...
(5) [Th: 96.4%] [ADLIB 1980/12] [個人情報] ●音楽が大好きで、プレイすることがなにより好きな音楽仲間が...
(6) [Th: 95.6%] [ADLIB 1981/2] ...各セクションを求めています。 [個人情報]
(7) [Th: 95.4%] [ADLIB 1981/5] ...仕事、コンサートの予定あり。 [個人情報] [電話番号] [個人情報]
(8) [Th: 95.4%] [ADLIB 1982/1] ...の方に限ります。男女問わず。 [個人情報]"
9.0,20,9,1. 読者コミュニティ・流通 (売買/募集/ペンパル) 🤝,街のソウル・ディスコ情報,No Interaction,Rが3ヶ月先行,0.565888,0.20578,0.526228,1.0,"午後, 営業時間, 地区, 黒電話, 主催, pm, tbs, 協会, am, 日曜日, 問合せ, 時半, 店内, 関西, 毎週",20.0,9.0,"(1) [Th: 95.6%] [ADLIB 1976/10] OUR SOUL SPOT ●東北の福島県郡山市にファッションDJハウ...
(2) [Th: 95.6%] [ADLIB 1976/10] OUR SOUL SPOT ●東北の福島県郡山市にファッションDJハウ...
(3) [Th: 95.4%] [ADLIB 1975/7] レディ・ソウル入門実践教室山口弘滋 - 美人のレディ・ソウルが楽しみた...
(4) [Th: 95.3%] [ADLIB 1980/6] ●出物もとめていく千里~きょうもあさるは中古盤~。レコード収集の“基本...
(5) [Th: 95.2%] [ADLIB 1980/3] テレビだって歌謡曲ばかりじゃない ●ミュージック・イン・USA（東京1...
(6) [Th: 95.1%] [ADLIB 1980/4] ●ミュージック・イン・USA (東京12ch) 毎週火曜日深夜12時～...
(7) [Th: 94.7%] [ADLIB 1977/4] ●14号でもレポートしたように、ニューヨークで行なわれたディスコ会議は...
(8) [Th: 94.6%] [ADLIB 1980/7] ●テレビは歌謡曲ばかりじゃない ※サウンズ・クリエーション(東京12c..."
10.0,20,10,2. ライブ・イベント・コンサート情報 🏟️,熱狂フュージョンライブ,No Interaction,Rが7ヶ月先行,-0.415654,0.774763,0.3782,2.0,"アンコール, ソロ, 会場, ステージ, ノリ, 拍手, 手拍子, 客席, 終わる, 野呂, 観客, オープニング, pa, 迫力, 弾く",20.0,10.0,"(1) [Th: 97.0%] [ADLIB 1981/5] ...御卒業おめでとうございます。 [個人情報] [個人情報]
(2) [Th: 96.7%] [ADLIB 1981/9] ...ープ――今度はぜひ郡山へ。」 [個人情報]
(3) [Th: 96.7%] [ADLIB 1981/12] ...のすごさに改めて驚きました。 [個人情報] [個人情報]
(4) [Th: 96.7%] [ADLIB 1981/3] ...黒い車で走り去ってしまった。 [個人情報]
(5) [Th: 96.6%] [ADLIB 1980/3] ...イタクなんでしょうか･･･? [個人情報] [個人情報]
(6) [Th: 96.5%] [ADLIB 1981/8] ...さに“ヤンキー”のバンドだ。 [個人情報]
(7) [Th: 96.5%] [ADLIB 1981/7] ...り、そして金精大明神に合掌。 [個人情報]
(8) [Th: 96.4%] [ADLIB 1981/7] ...はドラマーです。あしからず。 [個人情報]"
